code,ko,en,cn
2104066,동삼2동,Dongsam 2(i)-dong,東三2洞
2104067,동삼3동,Dongsam 3(sam)-dong,東三3洞
2104068,신선동,Sinseon-dong,新仙洞
21050,부산진구,Busanjin-gu,釜山鎭區
2105051,부전1동,Bujeon 1(il)-dong,釜田1洞
2105052,부전2동,Bujeon 2(i)-dong,釜田2洞
2105053,범전동,Beomjeon-dong,凡田洞
2105054,연지동,Yeonji-dong,蓮池洞
2105055,초읍동,Choeup-dong,草邑洞
2105056,양정1동,Yangjeong 1(il)-dong,楊亭1洞
2105057,양정2동,Yangjeong 2(i)-dong,楊亭2洞
2105060,전포1동,Jeonpo 1(il)-dong,田浦1洞
2105061,전포2동,Jeonpo 2(i)-dong,田浦2洞
2105062,전포3동,Jeonpo 3(sam)-dong,田浦3洞
2105064,부암1동,Buam 1(il)-dong,釜岩1洞
2105066,부암3동,Buam 3(sam)-dong,釜岩3洞
2105067,당감1동,Danggam 1(il)-dong,堂甘1洞
2105068,당감2동,Danggam 2(i)-dong,堂甘2洞
2105069,당감3동,Danggam 3(sam)-dong,堂甘3洞
2105070,당감4동,Danggam 4(sa)-dong,堂甘4洞
2105071,가야1동,Gaya 1(il)-dong,伽倻1洞
2105072,가야2동,Gaya 2(i)-dong,伽倻2洞
2105073,가야3동,Gaya 3(sam)-dong,伽倻3洞
2105074,개금1동,Gaegeum 1(il)-dong,開琴1洞
2105075,개금2동,Gaegeum 2(i)-dong,開琴2洞
2105076,개금3동,Gaegeum 3(sam)-dong,開琴3洞
2105077,범천1동,Beomcheon 1(il)-dong,凡川1洞
2105078,범천2동,Beomcheon 2(i)-dong,凡川2洞
2105079,범천4동,Beomcheon 4(sa)-dong,凡川4洞
21060,동래구,Dongnae-gu,東萊區
2106051,수민동,Sumin-dong,壽民洞
2106052,복산동,Boksan-dong,福山洞
2106053,명륜1동,Myeongnyun 1(il)-dong,明倫1洞
2106054,명륜2동,Myeongnyun 2(i)-dong,明倫2洞
2106055,온천1동,Oncheon 1(il)-dong,溫泉1洞
2106056,온천2동,Oncheon 2(i)-dong,溫泉2洞
2106057,온천3동,Oncheon 3(sam)-dong,溫泉3洞
2106058,사직1동,Sajik 1(il)-dong,社稷1洞
2106059,사직2동,Sajik 2(i)-dong,社稷2洞
2106060,사직3동,Sajik 3(sam)-dong,社稷3洞
2106061,안락1동,Allak 1(il)-dong,安樂1洞
2106062,안락2동,Allak 2(i)-dong,安樂2洞
2106063,명장1동,Myeongjang 1(il)-dong,鳴藏1洞
2106064,명장2동,Myeongjang 2(i)-dong,鳴藏2洞
21070,남구,Nam-gu,南區
2107051,대연1동,Daeyeon 1(il)-dong,大淵1洞
2107052,대연2동,Daeyeon 2(i)-dong,大淵2洞
2107053,대연3동,Daeyeon 3(sam)-dong,大淵3洞
2107054,대연4동,Daeyeon 4(sa)-dong,大淵4洞
2107055,대연5동,Daeyeon 5(o)-dong,大淵5洞
2107056,대연6동,Daeyeon 6(yuk)-dong,大淵6洞
2107057,용호1동,Yongho 1(il)-dong,龍湖1洞
2107058,용호2동,Yongho 2(i)-dong,龍湖2洞
2107059,용호3동,Yongho 3(sam)-dong,龍湖3洞
2107060,용호4동,Yongho 4(sa)-dong,龍湖4洞
2107061,용당동,Yongdang-dong,龍塘洞
2107062,감만1동,Gamman 1(il)-dong,戡蠻1洞
2107063,감만2동,Gamman 2(i)-dong,戡蠻2洞
2107064,우암1동,Uam 1(il)-dong,牛岩1洞
2107065,우암2동,Uam 2(i)-dong,牛岩2洞
2107066,문현1동,Munhyeon 1(il)-dong,門峴1洞
2107067,문현2동,Munhyeon 2(i)-dong,門峴2洞
2107068,문현3동,Munhyeon 3(sam)-dong,門峴3洞
2107069,문현4동,Munhyeon 4(sa)-dong,門峴4洞
21080,북구,Buk-gu,北區
2108051,구포1동,Gupo 1(il)-dong,龜浦1洞
2108052,구포2동,Gupo 2(i)-dong,龜浦2洞
2108053,구포3동,Gupo 3(sam)-dong,龜浦3洞
2108054,금곡동,Geumgok-dong,金谷洞
2108055,화명1동,Hwamyeong 1(il)-dong,華明1洞
2108062,화명2동,Hwamyeong 2(i)-dong,華明2洞
2108063,화명3동,Hwamyeong 3(sam)-dong,華明3洞
2108056,덕천1동,Deokcheon 1(il)-dong,德川1洞
2108057,덕천2동,Deokcheon 2(i)-dong,德川2洞
2108058,덕천3동,Deokcheon 3(sam)-dong,德川3洞
2108059,만덕1동,Mandeok 1(il)-dong,萬德1洞
2108060,만덕2동,Mandeok 2(i)-dong,萬德2洞
2108061,만덕3동,Mandeok 3(sam)-dong,萬德3洞
21090,해운대구,Haeundae-gu,海雲臺區
2109051,우1동,U 1(il)-dong,佑1洞
2109052,우2동,U 2(i)-dong,佑2洞
2109053,중1동,Jung 1(il)-dong,中1洞
2109054,중2동,Jung 2(i)-dong,中2洞
2109066,좌1동,Jwa 1(il)-dong,佐1洞
2109067,좌2동,Jwa 2(i)-dong,佐2洞
2109068,좌3동,Jwa 3(sam)-dong,佐3洞
2109069,좌4동,Jwa 4(sa)-dong,佐4洞
2109056,송정동,Songjeong-dong,松亭洞
2109070,반여1동,Banyeo 1(il)-dong,盤如1洞
2109058,반여2동,Banyeo 2(i)-dong,盤如2洞
2109059,반여3동,Banyeo 3(sam)-dong,盤如3洞
2109071,반여4동,Banyeo 4(sa)-dong,盤如4洞
2109061,반송1동,Bansong 1(il)-dong,盤松1洞
2109062,반송2동,Bansong 2(i)-dong,盤松2洞
2109063,반송3동,Bansong 3(sam)-dong,盤松3洞
2109064,재송1동,Jaesong 1(il)-dong,栽松1洞
2109065,재송2동,Jaesong 2(i)-dong,栽松2洞
21100,사하구,Saha-gu,沙下區
2110051,괴정1동,Goejeong 1(il)-dong,槐亭1洞
2110052,괴정2동,Goejeong 2(i)-dong,槐亭2洞
2110053,괴정3동,Goejeong 3(sam)-dong,槐亭3洞
2110054,괴정4동,Goejeong 4(sa)-dong,槐亭4洞
2110055,당리동,Dangni-dong,堂里洞
2110056,하단1동,Hadan 1(il)-dong,下端1洞
2110057,하단2동,Hadan 2(i)-dong,下端2洞
2110058,신평1동,Sinpyeong 1(il)-dong,新平1洞
2110059,신평2동,Sinpyeong 2(i)-dong,新平2洞
2110060,장림1동,Jangnim 1(il)-dong,長林1洞
2110061,장림2동,Jangnim 2(i)-dong,長林2洞
2110062,다대1동,Dadae 1(il)-dong,多大1洞
2110063,다대2동,Dadae 2(i)-dong,多大2洞
2110064,구평동,Gupyeong-dong,舊平洞
2110065,감천1동,Gamcheon 1(il)-dong,甘川1洞
2110066,감천2동,Gamcheon 2(i)-dong,甘川2洞
21110,금정구,Geumjeong-gu,金井區
2111051,서1동,Seo 1(il)-dong,西1洞
2111052,서2동,Seo 2(i)-dong,西2洞
2111055,금사동,Geumsa-dong,錦絲洞
2111057,부곡1동,Bugok 1(il)-dong,釜谷1洞
2111058,부곡2동,Bugok 2(i)-dong,釜谷2洞
2111059,부곡3동,Bugok 3(sam)-dong,釜谷3洞
2111060,부곡4동,Bugok 4(sa)-dong,釜谷4洞
2111061,장전1동,Jangjeon 1(il)-dong,長箭1洞
2111062,장전2동,Jangjeon 2(i)-dong,長箭2洞
2111063,장전3동,Jangjeon 3(sam)-dong,長箭3洞
2111064,선두구동,Seondugu-dong,仙杜邱洞
2111067,청룡노포동,Cheongnyongnopo-dong,靑龍老圃洞
2111068,남산동,Namsan-dong,南山洞
2111069,구서1동,Guseo 1(il)-dong,久瑞1洞
2111070,구서2동,Guseo 2(i)-dong,久瑞2洞
2111071,금성동,Geumseong-dong,金城洞
2111072,서3동,Seo 3(sam)-dong,西3洞
21120,강서구,Gangseo-gu,江西區
2112051,대저1동,Daejeo 1(il)-dong,大渚1洞
2112052,대저2동,Daejeo 2(i)-dong,大渚2洞
2112053,강동동,Gangdong-dong,江東洞
2112054,명지동,Myeongji-dong,鳴旨洞
2112055,가락동,Garak-dong,駕洛洞
2112056,녹산동,Noksan-dong,菉山洞
2112057,천가동,Cheonga-dong,天加洞
21130,연제구,Yeonje-gu,蓮堤區
2113051,거제1동,Geoje 1(il)-dong,巨堤1洞
2113052,거제2동,Geoje 2(i)-dong,巨堤2洞
2113053,거제3동,Geoje 3(sam)-dong,巨堤3洞
2113054,거제4동,Geoje 4(sa)-dong,巨堤4洞
2113055,연산1동,Yeonsan 1(il)-dong,蓮山1洞
2113056,연산2동,Yeonsan 2(i)-dong,蓮山2洞
2113057,연산3동,Yeonsan 3(sam)-dong,蓮山3洞
2113058,연산4동,Yeonsan 4(sa)-dong,蓮山4洞
2113059,연산5동,Yeonsan 5(o)-dong,蓮山5洞
2113060,연산6동,Yeonsan 6(yuk)-dong,蓮山6洞
2113062,연산8동,Yeonsan 8(pal)-dong,蓮山8洞
2113063,연산9동,Yeonsan 9(gu)-dong,蓮山9洞
21140,수영구,Suyeong-gu,水營區
2114051,남천1동,Namcheon 1(il)-dong,南川1洞
2114052,남천2동,Namcheon 2(i)-dong,南川2洞
2114053,수영동,Suyeong-dong,水營洞
2114054,망미1동,Mangmi 1(il)-dong,望美1洞
2114055,망미2동,Mangmi 2(i)-dong,望美2洞
2114056,광안1동,Gwangan 1(il)-dong,廣安1洞
2114057,광안2동,Gwangan 2(i)-dong,廣安2洞
2114058,광안3동,Gwangan 3(sam)-dong,廣安3洞
2114059,광안4동,Gwangan 4(sa)-dong,廣安4洞
2114060,민락동,Millak-dong,民樂洞
21150,사상구,Sasang-gu,沙上區
2115051,삼락동,Samnak-dong,三樂洞
2115052,모라1동,Mora 1(il)-dong,毛羅1洞
2115054,모라3동,Mora 3(sam)-dong,毛羅3洞
2115055,덕포1동,Deokpo 1(il)-dong,德浦1洞
2115056,덕포2동,Deokpo 2(i)-dong,德浦2洞
2115057,괘법동,Gwaebeop-dong,掛法洞
2115060,주례1동,Jurye 1(il)-dong,周禮1洞
2115061,주례2동,Jurye 2(i)-dong,周禮2洞
2115062,주례3동,Jurye 3(sam)-dong,周禮3洞
2115063,학장동,Hakjang-dong,鶴章洞
2115064,엄궁동,Eomgung-dong,嚴弓洞
2115065,감전동,Gamjeon-dong,甘田洞
21310,기장군,Gijang-gun,機張郡
2131011,기장읍,Gijang-eup,機張邑
2131012,장안읍,Jangan-eup,長安邑
2131031,일광면,Ilgwang-myeon,日光面
2131032,정관면,Jeonggwan-myeon,鼎冠面
2131033,철마면,Cheolma-myeon,鐵馬面
22,대구광역시,Daegu,大邱廣域市
22010,중구,Jung-gu,中區
2201051,동인1·2·4가동,Dongin 1·2·4(ilisa)-ga -dong,東仁1·2·4街洞
2201052,동인3가동,Dongin 3(sam)-ga-dong,東仁3街洞
2201054,삼덕동,Samdeok-dong,三德洞
2201056,성내1동,Seongnae 1(il)-dong,城內1洞
2201059,성내2동,Seongnae 2(i)-dong,城內2洞
2201061,성내3동,Seongnae 3(sam)-dong,城內3洞
2201062,대신동,Daesin-dong,大新洞
2201064,남산1동,Namsan 1(il)-dong,南山1洞
2201065,남산2동,Namsan 2(i)-dong,南山2洞
2201066,남산3동,Namsan 3(sam)-dong,南山3洞
2201067,남산4동,Namsan 4(sa)-dong,南山4洞
2201068,대봉1동,Daebong 1(il)-dong,大鳳1洞
2201069,대봉2동,Daebong 2(i)-dong,大鳳2洞
22020,동구,Dong-gu,東區
2202051,신암1동,Sinam 1(il)-dong,新岩1洞
2202052,신암2동,Sinam 2(i)-dong,新岩2洞
2202053,신암3동,Sinam 3(sam)-dong,新岩3洞
2202054,신암4동,Sinam 4(sa)-dong,新岩4洞
2202055,신암5동,Sinam 5(o)-dong,新岩5洞
2202056,신천1·2동,Sincheon 1·2(ili)-dong,新川1·2洞
2202058,신천3동,Sincheon 3(sam)-dong,新川3洞
2202059,신천4동,Sincheon 4(sa)-dong,新川4洞
2202060,효목1동,Hyomok 1(il)-dong,孝睦1洞
2202061,효목2동,Hyomok 2(i)-dong,孝睦2洞
2202062,도평동,Dopyeong-dong,道坪洞
2202063,불로·봉무동,Bullobongmu-dong,不老·鳳舞洞
2202065,지저동,Jijeo-dong,枝底洞
2202066,동촌동,Dongchon-dong,東村洞
2202068,방촌동,Bangchon-dong,芳村洞
2202069,해안동,Haean-dong,解顔洞
2202071,공산동,Gongsan-dong,公山洞
2202073,안심1동,Ansim 1(il)-dong,安心1洞
2202074,안심2동,Ansim 2(i)-dong,安心2洞
2202075,안심3·4동,Ansim 3·4(samsa)-dong,安心3·4洞
22030,서구,Seo-gu,西區
2203051,내당1동,Naedang 1(il)-dong,內唐1洞
2203052,내당2·3동,Naedang 2·3(isam)-dong,內唐2·3洞
2203053,내당4동,Naedang 4(sa)-dong,內唐4洞
2203054,비산1동,Bisan 1(il)-dong,飛山1洞
2203055,비산2·3동,Bisan 2·3(isam)-dong,飛山2·3洞
2203056,비산4동,Bisan 4(sa)-dong,飛山4洞
2203057,비산5동,Bisan 5(o)-dong,飛山5洞
2203058,비산6동,Bisan 6(yuk)-dong,飛山6洞
2203059,비산7동,Bisan 7(chil)-dong,飛山7洞
2203060,평리1동,Pyeongni 1(il)-dong,坪里1洞
2203061,평리2동,Pyeongni 2(i)-dong,坪里2洞
2203062,평리3동,Pyeongni 3(sam)-dong,坪里3洞
2203063,평리4동,Pyeongni 4(sa)-dong,坪里4洞
2203064,평리5동,Pyeongni 5(o)-dong,坪里5洞
2203065,평리6동,Pyeongni 6(yuk)-dong,坪里6洞
2203066,상중이동,Sangjungi-dong,上中梨洞
2203068,원대동,Wondae-dong,院垈洞
22040,남구,Nam-gu,南區
2204051,이천동,Icheon-dong,梨泉洞
2204053,봉덕1동,Bongdeok 1(il)-dong,鳳德1洞
2204054,봉덕2동,Bongdeok 2(i)-dong,鳳德2洞
2204055,봉덕3동,Bongdeok 3(sam)-dong,鳳德3洞
2204056,대명1동,Daemyeong 1(il)-dong,大明1洞
2204057,대명2동,Daemyeong 2(i)-dong,大明2洞
2204058,대명3동,Daemyeong 3(sam)-dong,大明3洞
2204059,대명4동,Daemyeong 4(sa)-dong,大明4洞
2204060,대명5동,Daemyeong 5(o)-dong,大明5洞
2204061,대명6동,Daemyeong 6(yuk)-dong,大明6洞
2204064,대명9동,Daemyeong 9(gu)-dong,大明9洞
2204065,대명10동,Daemyeong 10(sip)-dong,大明10洞
2204066,대명11동,Daemyeong 11(sibil)-dong,大明11洞
22050,북구,Buk-gu,北區
2205051,고성동,Goseong-dong,古城洞
2205052,칠성동,Chilseong-dong,七星洞
2205055,침산1동,Chimsan 1(il)-dong,砧山1洞
2205056,침산2동,Chimsan 2(i)-dong,砧山2洞
2205057,침산3동,Chimsan 3(sam)-dong,砧山3洞
2205061,산격1동,Sangyeok 1(il)-dong,山格1洞
2205062,산격2동,Sangyeok 2(i)-dong,山格2洞
2205063,산격3동,Sangyeok 3(sam)-dong,山格3洞
2205064,산격4동,Sangyeok 4(sa)-dong,山格4洞
2205065,복현1동,Bokhyeon 1(il)-dong,伏賢1洞
2205066,복현2동,Bokhyeon 2(i)-dong,伏賢2洞
2205067,대현1동,Daehyeon 1(il)-dong,大賢1洞
2205068,대현2동,Daehyeon 2(i)-dong,大賢2洞
2205070,검단동,Geomdan-dong,檢丹洞
2205071,무태조야동,Mutaejoya-dong,無怠助也洞
2205075,관문동,Gwanmun-dong,關門洞
2205078,태전1동,Taejeon 1(il)-dong,太田1洞
2205074,태전2동,Taejeon 2(i)-dong,太田2洞
2205079,구암동,Guam-dong,鳩岩洞
2205077,관음동,Gwaneum-dong,觀音洞
2205076,읍내동,Eupnae-dong,邑內洞
2205081,노원동,Nowon-dong,魯院洞
2205082,동천동,Dongcheon-dong,東川洞
2205083,국우동,Guku-dong,國優洞
22060,수성구,Suseong-gu,壽城區
2206051,범어1동,Beomeo 1(il)-dong,泛魚1洞
2206052,범어2동,Beomeo 2(i)-dong,泛魚2洞
2206053,범어3동,Beomeo 3(sam)-dong,泛魚3洞
2206054,범어4동,Beomeo 4(sa)-dong,泛魚4洞
2206055,만촌1동,Manchon 1(il)-dong,晩村1洞
2206056,만촌2동,Manchon 2(i)-dong,晩村2洞
2206057,만촌3동,Manchon 3(sam)-dong,晩村3洞
2206058,수성1가동,Suseong 1(il)-ga-dong,壽城1街洞
2206059,수성2·3가동,Suseong 2·3(isam)-ga-dong,壽城2·3街洞
2206060,수성4가동,Suseong 4(sa)-ga-dong,壽城4街洞
2206061,황금1동,Hwanggeum 1(il)-dong,黃金1洞
2206062,황금2동,Hwanggeum 2(i)-dong,黃金2洞
2206063,중동,Jung-dong,中洞
2206064,상동,Sang-dong,上洞
2206065,파동,Pa-dong,巴洞
2206066,두산동,Dusan-dong,斗山洞
2206067,지산1동,Jisan 1(il)-dong,池山1洞
2206068,지산2동,Jisan 2(i)-dong,池山2洞
2206069,범물1동,Beommul 1(il)-dong,凡勿1洞
2206070,범물2동,Beommul 2(i)-dong,凡勿2洞
2206071,고산1동,Gosan 1(il)-dong,孤山1洞
2206072,고산2동,Gosan 2(i)-dong,孤山2洞
2206073,고산3동,Gosan 3(sam)-dong,孤山3洞
22070,달서구,Dalseo-gu,達西區
2207051,성당1동,Seongdang 1(il)-dong,聖堂1洞
2207052,성당2동,Seongdang 2(i)-dong,聖堂2洞
2207053,두류1동,Duryu 1(il)-dong,杜柳1洞
2207054,두류2동,Duryu 2(i)-dong,杜柳2洞
2207055,두류3동,Duryu 3(sam)-dong,杜柳3洞
2207056,본리동,Bolli-dong,本里洞
2207057,감삼동,Gamsam-dong,甘三洞
2207058,죽전동,Jukjeon-dong,竹田洞
2207059,장기동,Janggi-dong,長基洞
2207072,용산1동,Yongsan 1(il)-dong,龍山1洞
2207073,용산2동,Yongsan 2(i)-dong,龍山2洞
2207060,이곡1동,Igok 1(il)-dong,梨谷1洞
2207074,이곡2동,Igok 2(i)-dong,梨谷2洞
2207061,신당동,Sindang-dong,新塘洞
2207062,월성1동,Wolseong 1(il)-dong,月城1洞
2207063,월성2동,Wolseong 2(i)-dong,月城2洞
2207064,진천동,Jincheon-dong,辰泉洞
2207065,상인1동,Sangin 1(il)-dong,上仁1洞
2207066,상인2동,Sangin 2(i)-dong,上仁2洞
2207067,상인3동,Sangin 3(sam)-dong,上仁3洞
2207068,도원동,Dowon-dong,桃原洞
2207069,송현1동,Songhyeon 1(il)-dong,松峴1洞
2207070,송현2동,Songhyeon 2(i)-dong,松峴2洞
2207071,본동,Bon-dong,本洞
22310,달성군,Dalseong-gun,達城郡
2231011,화원읍,Hwawon-eup,花園邑
2231012,논공읍,Nongong-eup,論工邑
2231013,다사읍,Dasa-eup,多斯邑
2231031,가창면,Gachang-myeon,嘉昌面
2231032,하빈면,Habin-myeon,河濱面
2231033,옥포면,Okpo-myeon,玉浦面
2231034,현풍면,Hyeonpung-myeon,玄風面
2231035,유가면,Yuga-myeon,瑜伽面
2231036,구지면,Guji-myeon,求智面
23,인천광역시,Incheon,仁川廣域市
23010,중구,Jung-gu,中區
2301052,연안동,Yeonan-dong,沿岸洞
2301053,신포동,Sinpo-dong,新浦洞
2301054,신흥동,Sinheung-dong,新興洞
2301056,도원동,Dowon-dong,桃源洞
2301057,율목동,Yulmok-dong,栗木洞
2301058,동인천동,Dongincheon-dong,東仁川洞
2301060,북성동,Bukseong-dong,北城洞
2301061,송월동,Songwol-dong,松月洞
2301062,영종동,Yeongjong-dong,永宗洞
2301063,용유동,Yongyu-dong,龍游洞
23020,동구,Dong-gu,東區
2302051,만석동,Manseok-dong,萬石洞
2302052,화수1·화평동,Hwasu 1(il)hwapyeong-dong,花水1·花平洞
2302053,화수2동,Hwasu 2(i)-dong,花水2洞
2302055,송현1·2동,Songhyeon 1·2(ili)-dong,松峴1·2洞
2302057,송현3동,Songhyeon 3(sam)-dong,松峴3洞
2302058,송림1동,Songnim 1(il)-dong,松林1洞
2302059,송림2동,Songnim 2(i)-dong,松林2洞
2302060,송림3·5동,Songnim 3·5(samo)-dong,松林3·5洞
2302061,송림4동,Songnim 4(sa)-dong,松林4洞
2302063,송림6동,Songnim 6(yuk)-dong,松林6洞
2302064,금창동,Geumchang-dong,金昌洞
23030,남구,Nam-gu,南區
2303052,숭의2동,Sungui 2(i)-dong,崇義2洞
2303054,숭의4동,Sungui 4(sa)-dong,崇義4洞
2303056,용현2동,Yonghyeon 2(i)-dong,龍峴2洞
2303057,용현3동,Yonghyeon 3(sam)-dong,龍峴3洞
2303059,용현5동,Yonghyeon 5(o)-dong,龍峴5洞
2303060,학익1동,Hagik 1(il)-dong,鶴翼1洞
2303061,학익2동,Hagik 2(i)-dong,鶴翼2洞
2303062,도화1동,Dohwa 1(il)-dong,道禾1洞
2303065,주안1동,Juan 1(il)-dong,朱安1洞
2303066,주안2동,Juan 2(i)-dong,朱安2洞
2303067,주안3동,Juan 3(sam)-dong,朱安3洞
2303068,주안4동,Juan 4(sa)-dong,朱安4洞
2303069,주안5동,Juan 5(o)-dong,朱安5洞
2303070,주안6동,Juan 6(yuk)-dong,朱安6洞
2303071,주안7동,Juan 7(chil)-dong,朱安7洞
2303072,주안8동,Juan 8(pal)-dong,朱安8洞
2303073,관교동,Gwangyo-dong,官校洞
2303074,문학동,Munhak-dong,文鶴洞
2303075,숭의1·3동,Sungui 1·3(il·sam)-dong,崇義1·3洞
2303076,용현1·4동,Yonghyeon 1·4(il·sa)-dong,龍峴1·4洞
2303077,도화2·3동,Dohwa 2·3(i·sam)-dong,道禾2·3洞
23040,연수구,Yeonsu-gu,延壽區
2304051,옥련1동,Ongnyeon 1(il)-dong,玉蓮1洞
2304060,옥련2동,Ongnyeon 2(i)-dong,玉蓮2洞
2304052,선학동,Seonhak-dong,仙鶴洞
2304053,연수1동,Yeonsu 1(il)-dong,延壽1洞
2304054,연수2동,Yeonsu 2(i)-dong,延壽2洞
2304055,연수3동,Yeonsu 3(sam)-dong,延壽3洞
2304056,청학동,Cheonghak-dong,靑鶴洞
2304057,동춘1동,Dongchun 1(il)-dong,東春1洞
2304058,동춘2동,Dongchun 2(i)-dong,東春2洞
2304059,동춘3동,Dongchun 3(sam)-dong,東春3洞
2304061,송도동,Songdo-dong,松島洞
23050,남동구,Namdong-gu,南洞區
2305051,구월1동,Guwol 1(il)-dong,九月1洞
2305052,구월2동,Guwol 2(i)-dong,九月2洞
2305053,구월3동,Guwol 3(sam)-dong,九月3洞
2305054,구월4동,Guwol 4(sa)-dong,九月4洞
2305055,간석1동,Ganseok 1(il)-dong,間石1洞
2305056,간석2동,Ganseok 2(i)-dong,間石2洞
2305057,간석3동,Ganseok 3(sam)-dong,間石3洞
2305058,간석4동,Ganseok 4(sa)-dong,間石4洞
2305059,만수1동,Mansu 1(il)-dong,萬壽1洞
2305060,만수2동,Mansu 2(i)-dong,萬壽2洞
2305061,만수3동,Mansu 3(sam)-dong,萬壽3洞
2305062,만수4동,Mansu 4(sa)-dong,萬壽4洞
2305063,만수5동,Mansu 5(o)-dong,萬壽5洞
2305064,만수6동,Mansu 6(yuk)-dong,萬壽6洞
2305065,장수서창동,Jangsuseochang-dong,長壽西昌洞
2305067,남촌도림동,Namchondorim-dong,南村桃林洞
2305070,논현고잔동,Nonhyeongojan-dong,論峴古棧洞
2305071,논현동,Nonhyeon-dong,論峴洞
23060,부평구,Bupyeong-gu,富平區
2306051,부평1동,Bupyeong 1(il)-dong,富平1洞
2306052,부평2동,Bupyeong 2(i)-dong,富平2洞
2306053,부평3동,Bupyeong 3(sam)-dong,富平3洞
2306054,부평4동,Bupyeong 4(sa)-dong,富平4洞
2306055,부평5동,Bupyeong 5(o)-dong,富平5洞
2306056,부평6동,Bupyeong 6(yuk)-dong,富平6洞
2306057,산곡1동,Sangok 1(il)-dong,山谷1洞
2306058,산곡2동,Sangok 2(i)-dong,山谷2洞
2306059,산곡3동,Sangok 3(sam)-dong,山谷3洞
2306060,산곡4동,Sangok 4(sa)-dong,山谷4洞
2306061,청천1동,Cheongcheon 1(il)-dong,淸川1洞
2306062,청천2동,Cheongcheon 2(i)-dong,淸川2洞
2306063,갈산1동,Galsan 1(il)-dong,葛山1洞
2306064,갈산2동,Galsan 2(i)-dong,葛山2洞
2306065,삼산1동,Samsan 1(il)-dong,三山1洞
2306066,부개1동,Bugae 1(il)-dong,富開1洞
2306067,부개2동,Bugae 2(i)-dong,富開2洞
2306068,부개3동,Bugae 3(sam)-dong,富開3洞
2306069,일신동,Ilsin-dong,日新洞
2306070,십정1동,Sipjeong 1(il)-dong,十井1洞
2306071,십정2동,Sipjeong 2(i)-dong,十井2洞
2306072,삼산2동,Samsan 2(i)-dong,三山2洞
23070,계양구,Gyeyang-gu,桂陽區
2307051,효성1동,Hyoseong 1(il)-dong,曉星1洞
2307052,효성2동,Hyoseong 2(i)-dong,曉星2洞
2307053,계산1동,Gyesan 1(il)-dong,桂山1洞
2307054,계산2동,Gyesan 2(i)-dong,桂山2洞
2307055,계산3동,Gyesan 3(sam)-dong,桂山3洞
2307062,계산4동,Gyesan 4(sa)-dong,桂山4洞
2307056,작전1동,Jakjeon 1(il)-dong,鵲田1洞
2307057,작전2동,Jakjeon 2(i)-dong,鵲田2洞
2307058,작전서운동,Jakjeonseoun-dong,鵲田瑞雲洞
2307060,계양1동,Gyeyang 1(il)-dong,桂陽1洞
2307061,계양2동,Gyeyang 2(i)-dong,桂陽2洞
23080,서구,Seo-gu,西區
2308051,검암경서동,Geomamgyeongseo-dong,黔岩景西洞
2308053,연희동,Yeonhui-dong,連喜洞
2308054,가정1동,Gajeong 1(il)-dong,佳亭1洞
2308055,가정2동,Gajeong 2(i)-dong,佳亭2洞
2308056,가정3동,Gajeong 3(sam)-dong,佳亭3洞
2308057,신현원창동,Sinhyeonwonchang-dong,新峴元倉洞
2308058,석남1동,Seongnam 1(il)-dong,石南1洞
2308059,석남2동,Seongnam 2(i)-dong,石南2洞
2308060,석남3동,Seongnam 3(sam)-dong,石南3洞
2308062,가좌1동,Gajwa 1(il)-dong,佳佐1洞
2308063,가좌2동,Gajwa 2(i)-dong,佳佐2洞
2308064,가좌3동,Gajwa 3(sam)-dong,佳佐3洞
2308065,가좌4동,Gajwa 4(sa)-dong,佳佐4洞
2308068,검단1동,Geomdan-1(il)dong,黔丹1洞
2308069,검단2동,Geomdan-2(i)dong,黔丹2洞
2308070,검단3동,Geomdan-3(sam)dong,黔丹3洞
2308071,검단4동,Geomdan-4(sa)dong,黔丹4洞
23310,강화군,Ganghwa-gun,江華郡
2331011,강화읍,Ganghwa-eup,江華邑
2331031,선원면,Seonwon-myeon,仙源面
2331032,불은면,Bureun-myeon,佛恩面
2331033,길상면,Gilsang-myeon,吉祥面
2331034,화도면,Hwado-myeon,華道面
2331035,양도면,Yangdo-myeon,良道面
2331036,내가면,Naega-myeon,內可面
2331037,하점면,Hajeom-myeon,河岾面
2331038,양사면,Yangsa-myeon,兩寺面
2331039,송해면,Songhae-myeon,松海面
2331040,교동면,Gyodong-myeon,喬洞面
2331041,삼산면,Samsan-myeon,三山面
2331042,서도면,Seodo-myeon,西島面
23320,옹진군,Ongjin-gun,甕津郡
2332031,북도면,Bukdo-myeon,北島面
2332032,연평면,Yeonpyeong-myeon,延坪面
2332033,백령면,Baengnyeong-myeon,白翎面
2332034,대청면,Daecheong-myeon,大靑面
2332035,덕적면,Deokjeok-myeon,德積面
2332036,자월면,Jawol-myeon,紫月面
2332037,영흥면,Yeongheung-myeon,靈興面
24,광주광역시,Gwangju,光州廣域市
24010,동구,Dong-gu,東區
2401051,충장동,Chungjang-dong,忠壯洞
2401054,동명동,Dongmyeong-dong,東明洞
2401056,계림1동,Gyerim 1(il)-dong,鷄林1洞
2401058,계림2동,Gyerim 2(i)-dong,鷄林2洞
2401059,산수1동,Sansu 1(il)-dong,山水1洞
2401061,산수2동,Sansu 2(i)-dong,山水2洞
2401062,지산1동,Jisan 1(il)-dong,芝山1洞
