code,ko,en,cn
1107068,망우3동,Mangu 3(sam)-dong,忘憂3洞
1107069,신내1동,Sinnae 1(il)-dong,新內1洞
1107070,신내2동,Sinnae 2(i)-dong,新內2洞
1107071,면목본동,Myeonmokbon-dong,面牧本洞
1107072,면목3·8동,Myeonmok 3·8(sam·pal)-dong,面牧3·8洞
1107073,망우본동,Mangubon-dong,忘憂本洞
11080,성북구,Seongbuk-gu,城北區
1108058,돈암1동,Donam 1(il)-dong,敦岩1洞
1108059,돈암2동,Donam 2(i)-dong,敦岩2洞
1108060,안암동,Anam-dong,安岩洞
1108061,보문동,Bomun-dong,普門洞
1108062,정릉1동,Jeongneung 1(il)-dong,貞陵1洞
1108063,정릉2동,Jeongneung 2(i)-dong,貞陵2洞
1108064,정릉3동,Jeongneung 3(sam)-dong,貞陵3洞
1108065,정릉4동,Jeongneung 4(sa)-dong,貞陵4洞
1108066,길음1동,Gireum 1(il)-dong,吉音1洞
1108068,길음2동,Gireum 2(i)-dong,吉音2洞
1108071,월곡1동,Wolgok 1(il)-dong,月谷1洞
1108072,월곡2동,Wolgok 2(i)-dong,月谷2洞
1108076,장위1동,Jangwi 1(il)-dong,長位1洞
1108077,장위2동,Jangwi 2(i)-dong,長位2洞
1108078,장위3동,Jangwi 3(sam)-dong,長位3洞
1108081,성북동,Seongbuk-dong,城北洞
1108082,삼선동,Samseon-dong,三仙洞
1108083,동선동,Dongseon-dong,東仙洞
1108084,종암동,Jongam-dong,鍾岩洞
1108085,석관동,Seokgwan-dong,石串洞
11090,강북구,Gangbuk-gu,江北區
1109060,번1동,Beon 1(il)-dong,樊1洞
1109061,번2동,Beon 2(i)-dong,樊2洞
1109062,번3동,Beon 3(sam)-dong,樊3洞
1109063,수유1동,Suyu 1(il)-dong,水踰1洞
1109064,수유2동,Suyu 2(i)-dong,水踰2洞
1109065,수유3동,Suyu 3(sam)-dong,水踰3洞
1109069,삼양동,Samyang-dong,三陽洞
1109070,미아동,Mia-dong,彌阿洞
1109071,송중동,Songjung-dong,松中洞
1109072,송천동,Songcheon-dong,松川洞
1109073,삼각산동,Samgaksan-dong,三角山洞
1109074,우이동,Ui-dong,牛耳洞
1109075,인수동,Insu-dong,仁壽洞
11100,도봉구,Dobong-gu,道峰區
1110051,쌍문1동,Ssangmun 1(il)-dong,雙門1洞
1110052,쌍문2동,Ssangmun 2(i)-dong,雙門2洞
1110053,쌍문3동,Ssangmun 3(sam)-dong,雙門3洞
1110054,쌍문4동,Ssangmun 4(sa)-dong,雙門4洞
1110055,방학1동,Banghak 1(il)-dong,放鶴1洞
1110056,방학2동,Banghak 2(i)-dong,放鶴2洞
1110057,방학3동,Banghak 3(sam)-dong,放鶴3洞
1110059,창1동,Chang 1(il)-dong,倉1洞
1110060,창2동,Chang 2(i)-dong,倉2洞
1110061,창3동,Chang 3(sam)-dong,倉3洞
1110062,창4동,Chang 4(sa)-dong,倉4洞
1110063,창5동,Chang 5(o)-dong,倉5洞
1110064,도봉1동,Dobong 1(il)-dong,道峰1洞
1110065,도봉2동,Dobong 2(i)-dong,道峰2洞
11110,노원구,Nowon-gu,蘆原區
1111051,월계1동,Wolgye 1(il)-dong,月溪1洞
1111052,월계2동,Wolgye 2(i)-dong,月溪2洞
1111053,월계3동,Wolgye 3(sam)-dong,月溪3洞
1111056,공릉2동,Gongneung 2(i)-dong,孔陵2洞
1111058,하계1동,Hagye 1(il)-dong,下溪1洞
1111059,하계2동,Hagye 2(i)-dong,下溪2洞
1111060,중계본동,Junggyebon-dong,中溪本洞
1111061,중계1동,Junggye 1(il)-dong,中溪1洞
1111064,중계4동,Junggye 4(sa)-dong,中溪4洞
1111065,상계1동,Sanggye 1(il)-dong,上溪1洞
1111066,상계2동,Sanggye 2(i)-dong,上溪2洞
1111069,상계5동,Sanggye 5(o)-dong,上溪5洞
1111072,상계8동,Sanggye 8(pal)-dong,上溪8洞
1111073,상계9동,Sanggye 9(gu)-dong,上溪9洞
1111074,상계10동,Sanggye 10(sip)-dong,上溪10洞
1111075,공릉1·3동,Gongneung 1·3(il·sam)-dong,孔陵1·3洞
1111076,상계3·4동,Sanggye 3·4(sam·sa)-dong,上溪3·4洞
1111077,상계6·7동,Sanggye 6·7(yuk·chil)-dong,上溪6·7洞
1111078,중계2·3동,Junggye 2·3(i·sam)-dong,中溪2·3洞
11120,은평구,Eunpyeong-gu,恩平區
1112051,녹번동,Nokbeon-dong,碌磻洞
1112052,불광1동,Bulgwang 1(il)-dong,佛光1洞
1112072,불광2동,Bulgwang 2(i)-dong,佛光2洞
1112055,갈현1동,Galhyeon 1(il)-dong,葛峴1洞
1112056,갈현2동,Galhyeon 2(i)-dong,葛峴2洞
1112057,구산동,Gusan-dong,龜山洞
1112058,대조동,Daejo-dong,大棗洞
1112059,응암1동,Eungam 1(il)-dong,鷹岩1洞
1112060,응암2동,Eungam 2(i)-dong,鷹岩2洞
1112073,응암3동,Eungam 3(sam)-dong,鷹岩3洞
1112074,역촌동,Yeokchon-dong,驛村洞
1112065,신사1동,Sinsa 1(il)-dong,新寺1洞
1112066,신사2동,Sinsa 2(i)-dong,新寺2洞
1112067,증산동,Jeungsan-dong,甑山洞
1112068,수색동,Susaek-dong,水色洞
1112071,진관동,Jingwan-dong,津寬洞
11130,서대문구,Seodaemun-gu,西大門區
1113052,천연동,Cheonyeon-dong,天然洞
1113062,홍제1동,Hongje 1(il)-dong,弘濟1洞
1113064,홍제3동,Hongje 3(sam)-dong,弘濟3洞
1113065,홍제2동,Hongje 2(i)-dong,弘濟2洞
1113066,홍은1동,Hongeun 1(il)-dong,弘恩1洞
1113068,홍은2동,Hongeun 2(i)-dong,弘恩2洞
1113069,남가좌1동,Namgajwa 1(il)-dong,南加佐1洞
1113070,남가좌2동,Namgajwa 2(i)-dong,南加佐2洞
1113071,북가좌1동,Bukgajwa 1(il)-dong,北加佐1洞
1113072,북가좌2동,Bukgajwa 2(i)-dong,北加佐2洞
1113073,충현동,Chunghyeon-dong,忠峴洞
1113074,북아현동,Bugahyeon-dong,北阿峴洞
1113075,신촌동,Sinchon-dong,新村洞
1113076,연희동,Yeonhui-dong,延禧洞
11140,마포구,Mapo-gu,麻浦區
1114059,용강동,Yonggang-dong,龍江洞
1114060,대흥동,Daeheung-dong,大興洞
1114061,염리동,Yeomni-dong,鹽里洞
1114063,신수동,Sinsu-dong,新水洞
1114066,서교동,Seogyo-dong,西橋洞
1114068,합정동,Hapjeong-dong,合井洞
1114069,망원1동,Mangwon 1(il)-dong,望遠1洞
1114070,망원2동,Mangwon 2(i)-dong,望遠2洞
1114071,연남동,Yeonnam-dong,延南洞
1114072,성산1동,Seongsan 1(il)-dong,城山1洞
1114073,성산2동,Seongsan 2(i)-dong,城山2洞
1114074,상암동,Sangam-dong,上岩洞
1114075,도화동,Dohwa-dong,桃花洞
1114076,서강동,Seogang-dong,西江洞
1114077,공덕동,gongdeok-dong,孔德洞
1114078,아현동,Ahyeon-dong,阿峴洞
11150,양천구,Yangcheon-gu,陽川區
1115051,목1동,Mok 1(il)-dong,木1洞
1115052,목2동,Mok 2(i)-dong,木2洞
1115053,목3동,Mok 3(sam)-dong,木3洞
1115054,목4동,Mok 4(sa)-dong,木4洞
1115071,목5동,Mok 5(o)-dong,木5洞
1115057,신월1동,Sinwol 1(il)-dong,新月1洞
1115058,신월2동,Sinwol 2(i)-dong,新月2洞
1115059,신월3동,Sinwol 3(sam)-dong,新月3洞
1115060,신월4동,Sinwol 4(sa)-dong,新月4洞
1115061,신월5동,Sinwol 5(o)-dong,新月5洞
1115062,신월6동,Sinwol 6(yuk)-dong,新月6洞
1115063,신월7동,Sinwol 7(chil)-dong,新月7洞
1115064,신정1동,Sinjeong 1(il)-dong,新亭1洞
1115065,신정2동,Sinjeong 2(i)-dong,新亭2洞
1115066,신정3동,Sinjeong 3(sam)-dong,新亭3洞
1115072,신정4동,Sinjeong 4(sa)-dong,新亭4洞
1115069,신정6동,Sinjeong 6(yuk)-dong,新亭6洞
1115070,신정7동,Sinjeong 7(chil)-dong,新亭7洞
11160,강서구,Gangseo-gu,江西區
1116051,염창동,Yeomchang-dong,鹽倉洞
1116052,등촌1동,Deungchon 1(il)-dong,登村1洞
1116053,등촌2동,Deungchon 2(i)-dong,登村2洞
1116054,등촌3동,Deungchon 3(sam)-dong,登村3洞
1116055,화곡본동,Hwagokbon-dong,禾谷本洞
1116057,화곡2동,Hwagok 2(i)-dong,禾谷2洞
1116058,화곡3동,Hwagok 3(sam)-dong,禾谷3洞
1116059,화곡4동,Hwagok 4(sa)-dong,禾谷4洞
1116061,화곡6동,Hwagok 6(yuk)-dong,禾谷6洞
1116063,화곡8동,Hwagok 8(pal)-dong,禾谷8洞
1116064,가양1동,Gayang 1(il)-dong,加陽1洞
1116065,가양2동,Gayang 2(i)-dong,加陽2洞
1116066,가양3동,Gayang 3(sam)-dong,加陽3洞
1116067,발산1동,Balsan 1(il)-dong,鉢山1洞
1116069,공항동,Gonghang-dong,空港洞
1116070,방화1동,Banghwa 1(il)-dong,傍花1洞
1116071,방화2동,Banghwa 2(i)-dong,傍花2洞
1116072,방화3동,Banghwa 3(sam)-dong,傍花3洞
1116073,화곡1동,Hwagok 1(il)-dong,禾谷1洞
1116074,우장산동,Ujangsan-dong,雨裝山洞
11170,구로구,Guro-gu,九老區
1117051,신도림동,Sindorim-dong,新道林洞
1117052,구로1동,Guro 1(il)-dong,九老1洞
1117054,구로3동,Guro 3(sam)-dong,九老3洞
1117055,구로4동,Guro 4(sa)-dong,九老4洞
1117056,구로5동,Guro 5(o)-dong,九老5洞
1117061,고척1동,Gocheok 1(il)-dong,高尺1洞
1117062,고척2동,Gocheok 2(i)-dong,高尺2洞
1117064,개봉2동,Gaebong 2(i)-dong,開峰2洞
1117065,개봉3동,Gaebong 3(sam)-dong,開峰3洞
1117067,오류1동,Oryu 1(il)-dong,梧柳1洞
1117068,오류2동,Oryu 2(i)-dong,梧柳2洞
1117069,수궁동,Sugung-dong,水宮洞
1117070,가리봉동,Garibong-dong,加里峰洞
1117071,구로2동,Guro 2(i)-dong,九老2洞
1117072,개봉1동,Gaebong 1(il)-dong,開峰1洞
11180,금천구,Geumcheon-gu,衿川區
1118051,가산동,Gasan-dong,加山洞
1118052,독산1동,Doksan 1(il)-dong,禿山1洞
1118053,독산2동,Doksan 2(i)-dong,禿山2洞
1118054,독산3동,Doksan 3(sam)-dong,禿山3洞
1118055,독산4동,Doksan 4(sa)-dong,禿山4洞
1118057,시흥1동,Siheung 1(il)-dong,始興1洞
1118058,시흥2동,Siheung 2(i)-dong,始興2洞
1118059,시흥3동,Siheung 3(sam)-dong,始興3洞
1118060,시흥4동,Siheung 4(sa)-dong,始興4洞
1118061,시흥5동,Siheung 5(o)-dong,始興5洞
11190,영등포구,Yeongdeungpo-gu,永登浦區
1119054,여의동,Yeoui-dong,汝矣洞
1119055,당산1동,Dangsan 1(il)-dong,堂山1洞
1119056,당산2동,Dangsan  2(i)-dong,堂山2洞
1119061,양평1동,Yangpyeong 1(il)-dong,楊平1洞
1119062,양평2동,Yangpyeong 2(i)-dong,楊平2洞
1119063,신길1동,Singil 1(il)-dong,新吉1洞
1119065,신길3동,Singil 3(sam)-dong,新吉3洞
1119066,신길4동,Singil 4(sa)-dong,新吉4洞
1119067,신길5동,Singil 5(o)-dong,新吉5洞
1119068,신길6동,Singil 6(yuk)-dong,新吉6洞
1119069,신길7동,Singil 7(chil)-dong,新吉7洞
1119070,대림1동,Daerim 1(il)-dong,大林1洞
1119071,대림2동,Daerim 2(i)-dong,大林2洞
1119072,대림3동,Daerim 3(sam)-dong,大林3洞
1119073,영등포본동,Yeongdeungpobon-dong,永登浦本洞
1119074,영등포동,Yeongdeungpo-dong,永登浦洞
1119075,도림동,Dorim-dong,道林洞
1119076,문래동,Mullae-dong,文來洞
11200,동작구,Dongjak-gu,銅雀區
1120052,노량진2동,Noryangjin 2(i)-dong,鷺梁津2洞
1120053,상도1동,Sangdo 1(il)-dong,上道1洞
1120054,상도2동,Sangdo 2(i)-dong,上道2洞
1120055,상도3동,Sangdo 3(sam)-dong,上道3洞
1120056,상도4동,Sangdo 4(sa)-dong,上道4洞
1120063,사당1동,Sadang 1(il)-dong,舍堂1洞
1120065,사당3동,Sadang 3(sam)-dong,舍堂3洞
1120066,사당4동,Sadang 4(sa)-dong,舍堂4洞
1120067,사당5동,Sadang 5(o)-dong,舍堂5洞
1120068,대방동,Daebang-dong,大方洞
1120069,신대방1동,Sindaebang 1(il)-dong,新大方1洞
1120070,신대방2동,Sindaebang 2(i)-dong,新大方2洞
1120071,흑석동,Heukseok-dong,黑石洞
1120072,노량진1동,Noryangjin 1(il)-dong,鷺梁津1洞
1120073,사당2동,Sadang 2(i)-dong,舍堂2洞
11210,관악구,Gwanak-gu,冠岳區
1121052,보라매동,Boramae-dong,보라매洞
1121054,청림동,Cheongnim-dong,靑林洞
1121057,행운동,Haengun-dong,幸運洞
1121058,낙성대동,Nagseongdae-dong,落星垈洞
1121061,중앙동,Jungang-dong,中央洞
1121062,인헌동,Inheon-dong,仁憲洞
1121063,남현동,Namhyeon-dong,南峴洞
1121064,서원동,Sewon-dong,書院洞
1121065,신원동,Sinwon-dong,新源洞
1121066,서림동,Serim-dong,瑞林洞
1121068,신사동,Sinsa-dong,新士洞
1121069,신림동,Sillim-dong,新林洞
1121071,난향동,Nanhyang-dong,蘭香洞
1121072,조원동,Jowon-dong,棗園洞
1121073,대학동,Daehak-dong,大學洞
1121078,은천동,Euncheon-dong,殷川洞
1121079,성현동,Seonghyeon-dong,成賢洞
