assembly_id,name,url
2,박정규,/wiki/%EB%B0%95%EC%A0%95%EA%B7%9C_(1905%EB%85%84)
2,박정근,/wiki/%EB%B0%95%EC%A0%95%EA%B7%BC
2,박제환,/wiki/%EB%B0%95%EC%A0%9C%ED%99%98_(1905%EB%85%84)
2,박철규,/wiki/%EB%B0%95%EC%B2%A0%EA%B7%9C
2,박철웅,/wiki/%EB%B0%95%EC%B2%A0%EC%9B%85
2,박충식,/wiki/%EB%B0%95%EC%B6%A9%EC%8B%9D_(%EC%A0%95%EC%B9%98%EC%9D%B8)
2,박팔봉,/wiki/%EB%B0%95%ED%8C%94%EB%B4%89
2,방만수,/wiki/%EB%B0%A9%EB%A7%8C%EC%88%98
2,배상연,/wiki/%EB%B0%B0%EC%83%81%EC%97%B0
2,배은희,/wiki/%EB%B0%B0%EC%9D%80%ED%9D%AC_(1888%EB%85%84)
2,백남식,/wiki/%EB%B0%B1%EB%82%A8%EC%8B%9D
2,백상규,/wiki/%EB%B0%B1%EC%83%81%EA%B7%9C
2,변광호,/wiki/%EB%B3%80%EA%B4%91%ED%98%B8
2,변진갑,/wiki/%EB%B3%80%EC%A7%84%EA%B0%91
2,서민호,/wiki/%EC%84%9C%EB%AF%BC%ED%98%B8
2,서범석,/wiki/%EC%84%9C%EB%B2%94%EC%84%9D
2,서상국,/wiki/%EC%84%9C%EC%83%81%EA%B5%AD
2,서상덕,/wiki/%EC%84%9C%EC%83%81%EB%8D%95_(1909%EB%85%84)
2,서상호,/wiki/%EC%84%9C%EC%83%81%ED%98%B8
2,서이환,/wiki/%EC%84%9C%EC%9D%B4%ED%99%98
2,서장주,/wiki/%EC%84%9C%EC%9E%A5%EC%A3%BC
2,성득환,/wiki/%EC%84%B1%EB%93%9D%ED%99%98
2,소선규,/wiki/%EC%86%8C%EC%84%A0%EA%B7%9C
2,송방용,/wiki/%EC%86%A1%EB%B0%A9%EC%9A%A9
2,신각휴,/w/index.php?title=%EC%8B%A0%EA%B0%81%ED%9C%B4&action=edit&redlink=1
2,신광균,/wiki/%EC%8B%A0%EA%B4%91%EA%B7%A0
2,신석빈,/wiki/%EC%8B%A0%EC%84%9D%EB%B9%88
2,신용욱,/wiki/%EC%8B%A0%EC%9A%A9%EC%9A%B1
2,신용훈,/wiki/%EC%8B%A0%EC%9A%A9%ED%9B%88
2,신익희,/wiki/%EC%8B%A0%EC%9D%B5%ED%9D%AC
2,신중목,/wiki/%EC%8B%A0%EC%A4%91%EB%AA%A9
2,안만복,/wiki/%EC%95%88%EB%A7%8C%EB%B3%B5
2,안상한,/wiki/%EC%95%88%EC%83%81%ED%95%9C
2,안용대,/wiki/%EC%95%88%EC%9A%A9%EB%8C%80
2,안재홍,/wiki/%EC%95%88%EC%9E%AC%ED%99%8D
2,양병일,/wiki/%EC%96%91%EB%B3%91%EC%9D%BC_(1910%EB%85%84)
2,양우정,/wiki/%EC%96%91%EC%9A%B0%EC%A0%95
2,양재하,/wiki/%EC%96%91%EC%9E%AC%ED%95%98_(1906%EB%85%84)
2,엄병학,/wiki/%EC%97%84%EB%B3%91%ED%95%99
2,엄상섭,/wiki/%EC%97%84%EC%83%81%EC%84%AD
2,여영복,/wiki/%EC%97%AC%EC%98%81%EB%B3%B5
2,여운홍,/wiki/%EC%97%AC%EC%9A%B4%ED%99%8D
2,연병호,/wiki/%EC%97%B0%EB%B3%91%ED%98%B8
2,오성환,/wiki/%EC%98%A4%EC%84%B1%ED%99%98_(1906%EB%85%84)
2,오위영,/wiki/%EC%98%A4%EC%9C%84%EC%98%81
2,오의관,/wiki/%EC%98%A4%EC%9D%98%EA%B4%80
2,오화영,/wiki/%EC%98%A4%ED%99%94%EC%98%81
2,우문,/wiki/%EC%9A%B0%EB%AC%B8
